,param_max_depth,param_max_features,param_min_samples_split,param_min_weight_fraction_leaf,mean_train_score,mean_test_score,diff
0,1,auto,2,0.1,0.7396077217288107,0.6265527950310559,0.11305492669775485
1,1,auto,2,0.3,0.6991737775971827,0.6369694616977225,0.06220431589946018
2,1,auto,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
5,1,auto,7,0.1,0.7396077217288107,0.6265527950310559,0.11305492669775485
6,1,auto,7,0.3,0.6991737775971827,0.6369694616977225,0.06220431589946018
7,1,auto,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
10,1,auto,12,0.1,0.7396077217288107,0.6265527950310559,0.11305492669775485
11,1,auto,12,0.3,0.6991737775971827,0.6369694616977225,0.06220431589946018
12,1,auto,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
15,1,auto,17,0.1,0.7396077217288107,0.6265527950310559,0.11305492669775485
16,1,auto,17,0.3,0.6991737775971827,0.6369694616977225,0.06220431589946018
17,1,auto,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
20,1,sqrt,2,0.1,0.7375470030894654,0.6327898550724637,0.10475714801700176
21,1,sqrt,2,0.3,0.6950297659359017,0.6328286749482402,0.06220109098766147
22,1,sqrt,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
25,1,sqrt,7,0.1,0.7375470030894654,0.6327898550724637,0.10475714801700176
26,1,sqrt,7,0.3,0.6950297659359017,0.6328286749482402,0.06220109098766147
27,1,sqrt,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
30,1,sqrt,12,0.1,0.7375470030894654,0.6327898550724637,0.10475714801700176
31,1,sqrt,12,0.3,0.6950297659359017,0.6328286749482402,0.06220109098766147
32,1,sqrt,12,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
35,1,sqrt,17,0.1,0.7375470030894654,0.6327898550724637,0.10475714801700176
36,1,sqrt,17,0.3,0.6950297659359017,0.6328286749482402,0.06220109098766147
37,1,sqrt,17,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
40,6,auto,2,0.1,0.9927310488058151,0.6120341614906832,0.38069688731513185
41,6,auto,2,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
42,6,auto,2,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
45,6,auto,7,0.1,0.9927310488058151,0.6120341614906832,0.38069688731513185
46,6,auto,7,0.3,0.7271756867449675,0.641110248447205,0.08606543829776248
47,6,auto,7,0.5,0.5000032249117986,0.5000129399585921,9.715046793479232e-06
50,6,auto,12,0.1,0.9927310488058151,0.6120341614906832,0.38069688731513185
