,param_criterion,param_max_depth,param_max_features,param_min_samples_split,mean_train_score,mean_test_score
0,gini,1,1,2,0.5083009229697568,0.5
1,gini,1,1,7,0.5083009229697568,0.5
2,gini,1,1,12,0.5083009229697568,0.5
3,gini,1,1,17,0.5083009229697568,0.5
4,gini,1,3,2,0.5964442122507949,0.5891433747412008
5,gini,1,3,7,0.5964442122507949,0.5891433747412008
6,gini,1,3,12,0.5964442122507949,0.5891433747412008
7,gini,1,3,17,0.5964442122507949,0.5891433747412008
8,gini,1,5,2,0.61822526653896,0.6181418219461697
9,gini,1,5,7,0.61822526653896,0.6181418219461697
10,gini,1,5,12,0.61822526653896,0.6181418219461697
11,gini,1,5,17,0.61822526653896,0.6181418219461697
12,gini,1,7,2,0.6223854027592345,0.6243530020703933
13,gini,1,7,7,0.6223854027592345,0.6243530020703933
14,gini,1,7,12,0.6223854027592345,0.6243530020703933
15,gini,1,7,17,0.6223854027592345,0.6243530020703933
16,gini,1,9,2,0.629647904129822,0.6140398550724637
17,gini,1,9,7,0.629647904129822,0.6140398550724637
18,gini,1,9,12,0.629647904129822,0.6140398550724637
19,gini,1,9,17,0.629647904129822,0.6140398550724637
20,gini,1,11,2,0.6203021097372986,0.605758281573499
21,gini,1,11,7,0.6203021097372986,0.605758281573499
22,gini,1,11,12,0.6203021097372986,0.605758281573499
23,gini,1,11,17,0.6203021097372986,0.605758281573499
24,gini,1,13,2,0.5954283650342163,0.595406314699793
25,gini,1,13,7,0.5954283650342163,0.595406314699793
26,gini,1,13,12,0.5954283650342163,0.595406314699793
27,gini,1,13,17,0.5954283650342163,0.595406314699793
28,gini,6,1,2,0.8309243242197327,0.6202898550724637
29,gini,6,1,7,0.7748979315415724,0.6327122153209109
30,gini,6,1,12,0.7302716020716833,0.6223602484472051
31,gini,6,1,17,0.7074456763607514,0.6202898550724637
32,gini,6,3,2,0.8859090703869249,0.6119953416149069
33,gini,6,3,7,0.8267899872938475,0.6099249482401656
34,gini,6,3,12,0.7811349109601853,0.612021221532091
35,gini,6,3,17,0.7499983875441006,0.6161490683229814
36,gini,6,5,2,0.906661377811317,0.6078545548654244
37,gini,6,5,7,0.8568687396399709,0.6037267080745341
38,gini,6,5,12,0.798775178498868,0.601669254658385
39,gini,6,5,17,0.7624594467341318,0.612008281573499
40,gini,6,7,2,0.9118502608953646,0.6058100414078674
41,gini,6,7,7,0.8682720277600408,0.5954580745341614
42,gini,6,7,12,0.816405771302155,0.6141174948240166
43,gini,6,7,17,0.7655747115316395,0.6058229813664596
44,gini,6,9,2,0.9180646659313867,0.5995988612836439
45,gini,6,9,7,0.8765600510826029,0.6037396480331262
46,gini,6,9,12,0.8215914294744039,0.6078933747412009
47,gini,6,9,17,0.7738756345013963,0.6057971014492755
48,gini,6,11,2,0.9222119025044665,0.6099767080745342
49,gini,6,11,7,0.8776081474171681,0.5995988612836439
50,gini,6,11,12,0.8267738627348541,0.5996247412008282
51,gini,6,11,17,0.7873589907316035,0.5975155279503106
52,gini,6,13,2,0.9242887457028051,0.6016821946169773
53,gini,6,13,7,0.883835452100385,0.601656314699793
54,gini,6,13,12,0.8236618228491451,0.6057971014492755
55,gini,6,13,17,0.7852821475332649,0.6078416149068323
56,gini,11,1,2,0.9989615784008308,0.6078674948240166
57,gini,11,1,7,0.89004340731281,0.6223473084886129
58,gini,11,1,12,0.7811349109601853,0.624417701863354
59,gini,11,1,17,0.7333933166927884,0.6223602484472051
60,gini,11,3,2,1.0,0.6099249482401656
61,gini,11,3,7,0.9263559141657476,0.601656314699793
62,gini,11,3,12,0.8350747857046109,0.603713768115942
63,gini,11,3,17,0.76868352650555,0.6078674948240166
64,gini,11,5,2,1.0,0.6037655279503106
65,gini,11,5,7,0.9367304554220443,0.6099249482401656
66,gini,11,5,12,0.8506285353095593,0.5995859213250517
67,gini,11,5,17,0.7832085292467251,0.6016433747412008
68,gini,11,7,2,1.0,0.5954321946169773
69,gini,11,7,7,0.941909663770696,0.5995988612836439
70,gini,11,7,12,0.8578910366801469,0.6058229813664596
71,gini,11,7,17,0.7904742555291113,0.6058229813664596
72,gini,11,9,2,1.0,0.601669254658385
73,gini,11,9,7,0.9450281534800024,0.5975155279503106
74,gini,11,9,12,0.8620382732532265,0.5996247412008282
75,gini,11,9,17,0.7956534638777629,0.6058100414078674
76,gini,11,11,2,1.0,0.5933876811594202
77,gini,11,11,7,0.9481337435421141,0.5975155279503106
78,gini,11,11,12,0.8620414981650252,0.6037525879917184
79,gini,11,11,17,0.8008326722264146,0.5995988612836439
80,gini,11,13,2,1.0,0.5892210144927535
81,gini,11,13,7,0.9512490083396218,0.5892080745341616
82,gini,11,13,12,0.8661919596499036,0.6037396480331262
83,gini,11,13,17,0.8060215553104623,0.6016433747412008
84,gini,16,1,2,1.0,0.6078286749482402
85,gini,16,1,7,0.8941970937094871,0.6264880952380952
86,gini,16,1,12,0.7790580677618467,0.6264880952380952
87,gini,16,1,17,0.7313132485826513,0.6223602484472051
88,gini,16,3,2,1.0,0.612008281573499
89,gini,16,3,7,0.9284359822758846,0.6057971014492755
90,gini,16,3,12,0.8361099823919815,0.6057971014492755
91,gini,16,3,17,0.76868352650555,0.6057971014492755
92,gini,16,5,2,1.0,0.607919254658385
93,gini,16,5,7,0.9398424953077532,0.612008281573499
94,gini,16,5,12,0.8547725469708404,0.5975025879917184
95,gini,16,5,17,0.7842437259340956,0.6078674948240166
96,gini,16,7,2,1.0,0.5995859213250517
97,gini,16,7,7,0.9429480853698652,0.5995988612836439
